"DOR Code","Municipality","Fiscal Year","Total Outstanding Debt (Schedule A Part 10)","Equalized Values (EQV)","Outstanding Debt as a % of EQV","Population","Outstanding Debt Per Capita","GF Debt Service (Schedule A Part 2)","Total Budget","Debt Service as a % of Budget"
"174","Maynard","2021","43,537,726","1,386,638,200","3.14%","10,667","4,082","3,372,091","48,248,630","6.99%"
"174","Maynard","2022","39,189,536","1,620,005,500","2.42%","11,336","3,457","3,911,430","50,241,711","7.79%"
"174","Maynard","2023","35,091,677","1,620,005,500","2.17%","10,746","3,266","3,718,291","51,999,638","7.15%"
"174","Maynard","2024","54,758,946","1,839,094,900","2.98%","10,574","5,179","2,707,829","52,850,565","5.12%"
"174","Maynard","2025","51,616,138","1,839,094,900","2.81%","10,546","4,894","3,619,691","55,371,611","6.54%"
"175","Medfield","2021","30,066,238","2,801,486,200","1.07%","12,904","2,330","5,604,822","65,528,720","8.55%"
"175","Medfield","2022","36,809,516","2,985,655,000","1.23%","12,955","2,841","5,987,090","70,096,377","8.54%"
"175","Medfield","2023","32,851,316","2,985,655,000","1.10%","12,799","2,567","5,270,270","74,903,036","7.04%"
"175","Medfield","2024","29,936,607","3,244,189,600","0.92%","12,915","2,318","4,075,285","73,873,637","5.52%"
"175","Medfield","2025","27,005,358","3,244,189,600","0.83%","13,072","2,066","3,967,230","78,620,639","5.05%"
"176","Medford","2021","72,556,935","10,557,928,900","0.69%","57,765","1,256","8,265,896","173,153,047","4.77%"
"176","Medford","2022","69,843,917","12,501,964,700","0.56%","57,341","1,218","5,440,509","181,501,368","3.00%"
"176","Medford","2023","73,372,300","12,501,964,700","0.59%","59,659","1,230","5,484,903","190,631,064","2.88%"
"176","Medford","2024","74,852,600","13,888,346,300","0.54%","62,098","1,205","5,091,124","195,724,521","2.60%"
"176","Medford","2025","75,777,900","13,888,346,300","0.55%","65,399","1,159","5,396,419","223,167,117","2.42%"
"177","Medway","2021","50,819,688","2,081,768,600","2.44%","13,427","3,785","3,884,864","60,431,575","6.43%"
"177","Medway","2022","46,151,845","2,494,179,400","1.85%","13,479","3,424","3,751,276","69,689,073","5.38%"
"177","Medway","2023","64,320,851","2,494,179,400","2.58%","13,115","4,904","3,489,344","68,504,036","5.09%"
"177","Medway","2024","59,201,902","2,799,149,700","2.11%","13,131","4,509","3,802,973","70,665,647","5.38%"
"177","Medway","2025","55,508,471","2,799,149,700","1.98%","13,393","4,145","3,673,006","74,306,443","4.94%"
"178","Melrose","2021","50,613,070","5,244,113,700","0.97%","28,193","1,795","5,890,716","96,353,830","6.11%"
"178","Melrose","2022","46,106,768","6,208,754,700","0.74%","28,016","1,646","5,149,219","99,008,884","5.20%"
"178","Melrose","2023","41,803,610","6,208,754,700","0.67%","29,817","1,402","5,069,313","104,058,391","4.87%"
"178","Melrose","2024","37,978,001","6,830,692,800","0.56%","29,312","1,296","5,213,126","111,650,297","4.67%"
"178","Melrose","2025","53,860,389","6,830,692,800","0.79%","29,155","1,847","8,952,102","113,388,751","7.90%"
"179","Mendon","2021","8,110,000","989,637,700","0.82%","6,183","1,312","956,520","20,963,981","4.56%"
"179","Mendon","2022","7,400,000","1,082,278,300","0.68%","6,223","1,189","971,245","22,582,002","4.30%"
"179","Mendon","2023","6,765,000","1,082,278,300","0.63%","6,228","1,086","873,445","23,761,219","3.68%"
"179","Mendon","2024","6,110,000","1,231,055,600","0.50%","6,251","977","872,795","23,918,219","3.65%"
"179","Mendon","2025","5,430,000","1,231,055,600","0.44%","6,286","864","876,445","26,483,949","3.31%"
"180","Merrimac","2021","11,740,475","847,714,200","1.38%","6,975","1,683","749,782","19,296,727","3.89%"
"180","Merrimac","2022","12,583,892","966,545,100","1.30%","6,960","1,808","744,771","20,483,265","3.64%"
"180","Merrimac","2023","11,665,489","966,545,100","1.21%","6,723","1,735","898,721","21,411,647","4.20%"
"180","Merrimac","2024","10,855,224","1,063,280,200","1.02%","6,705","1,619","794,680","22,630,347","3.51%"
"180","Merrimac","2025","10,323,051","1,063,280,200","0.97%","6,699","1,541","664,333","23,329,247","2.85%"
"181","Methuen","2021","56,357,191","5,783,276,300","0.97%","50,698","1,112","7,878,474","163,593,677","4.82%"
"181","Methuen","2022","61,272,354","6,534,741,900","0.94%","50,706","1,208","4,414,372","170,506,353","2.59%"
"181","Methuen","2023","65,713,836","6,534,741,900","1.01%","53,059","1,239","7,524,207","184,507,715","4.08%"
"181","Methuen","2024","72,990,864","7,484,419,600","0.98%","52,798","1,382","5,246,729","201,094,851","2.61%"
"181","Methuen","2025","72,570,169","7,484,419,600","0.97%","53,241","1,363","5,996,338","210,841,672","2.84%"
"182","Middleborough","2021","70,292,774","2,710,745,900","2.59%","25,121","2,798","7,958,399","84,133,340","9.46%"
"182","Middleborough","2022","105,500,169","3,078,877,100","3.43%","25,463","4,143","8,586,783","87,486,038","9.82%"
"182","Middleborough","2023","105,679,986","3,078,877,100","3.43%","24,245","4,359","8,590,946","97,594,102","8.80%"
"182","Middleborough","2024","100,577,410","3,517,109,700","2.86%","24,459","4,112","6,531,384","104,414,939","6.26%"
"182","Middleborough","2025","103,332,219","3,517,109,700","2.94%","24,376","4,239","6,293,543","102,871,939","6.12%"
"183","Middlefield","2021","0","73,417,000","0.00%","530","0","0","1,663,273","0.00%"
"183","Middlefield","2022","0","73,050,200","0.00%","534","0","0","1,732,195","0.00%"
"183","Middlefield","2023","0","73,050,200","0.00%","385","0","0","1,852,857","0.00%"
"183","Middlefield","2024","0","74,262,900","0.00%","388","0","0","2,037,507","0.00%"
"183","Middlefield","2025","0","74,262,900","0.00%","388","0","0","2,094,263","0.00%"
"184","Middleton","2021","11,977,772","2,128,852,700","0.56%","10,050","1,192","1,344,280","39,402,748","3.41%"
"184","Middleton","2022","73,336,586","2,366,454,600","3.10%","10,110","7,254","1,549,598","41,412,942","3.74%"
"184","Middleton","2023","71,965,000","2,366,454,600","3.04%","9,779","7,359","4,212,643","45,320,644","9.30%"
"184","Middleton","2024","70,004,000","2,600,183,100","2.69%","9,767","7,167","3,805,330","48,139,019","7.91%"
"184","Middleton","2025","67,928,000","2,600,183,100","2.61%","9,837","6,905","3,828,179","49,207,258","7.78%"
"185","Milford","2021","40,405,657","3,414,149,500","1.18%","29,105","1,388","4,780,280","111,966,218","4.27%"
"185","Milford","2022","114,079,848","3,913,410,800","2.92%","29,101","3,920","4,558,221","133,137,597","3.42%"
"185","Milford","2023","109,169,039","3,913,410,800","2.79%","30,379","3,594","4,185,169","139,778,837","2.99%"
"185","Milford","2024","104,433,230","4,423,092,300","2.36%","30,277","3,449","3,888,889","150,417,960","2.59%"
"185","Milford","2025","99,602,421","4,423,092,300","2.25%","30,196","3,299","3,780,929","159,214,083","2.38%"
"186","Millbury","2021","19,453,815","1,670,266,000","1.16%","13,866","1,403","1,810,274","47,687,587","3.80%"
"186","Millbury","2022","17,646,463","1,940,073,800","0.91%","13,947","1,265","2,287,616","49,169,616","4.65%"
"186","Millbury","2023","41,894,895","1,940,073,800","2.16%","13,831","3,029","2,217,974","51,910,550","4.27%"
"186","Millbury","2024","40,492,772","2,138,952,900","1.89%","13,884","2,917","5,384,496","57,000,077","9.45%"
"186","Millbury","2025","64,806,506","2,138,952,900","3.03%","13,936","4,650","5,830,778","60,766,395","9.60%"
"187","Millis","2021","46,330,000","1,247,044,700","3.72%","8,270","5,602","3,891,937","36,679,538","10.61%"
"187","Millis","2022","43,500,000","1,417,727,000","3.07%","8,310","5,235","3,785,178","39,308,171","9.63%"
"187","Millis","2023","40,675,000","1,417,727,000","2.87%","8,460","4,808","3,729,114","42,697,597","8.73%"
"187","Millis","2024","42,995,000","1,670,717,600","2.57%","8,668","4,960","3,653,483","45,706,005","7.99%"
"187","Millis","2025","40,110,000","1,670,717,600","2.40%","8,836","4,539","3,709,131","45,470,803","8.16%"
"188","Millville","2021","264,216","315,022,800","0.08%","3,265","81","50,074","7,511,206","0.67%"
"188","Millville","2022","224,122","337,150,600","0.07%","3,257","69","40,094","6,921,165","0.58%"
"188","Millville","2023","400,742","337,150,600","0.12%","3,174","126","40,094","7,155,801","0.56%"
"188","Millville","2024","355,798","387,116,000","0.09%","3,151","113","44,944","8,012,138","0.56%"
"188","Millville","2025","","387,116,000","","3,147","","45,261","8,161,135","0.56%"
"189","Milton","2021","38,531,761","6,039,459,500","0.64%","27,616","1,395","4,488,752","113,160,528","3.97%"
"189","Milton","2022","34,428,727","6,817,342,900","0.51%","27,593","1,248","4,605,097","116,007,203","3.97%"
"189","Milton","2023","37,350,694","6,817,342,900","0.55%","28,630","1,305","4,266,466","123,243,367","3.46%"
"189","Milton","2024","32,599,215","7,603,573,400","0.43%","28,388","1,148","4,940,938","130,239,001","3.79%"
"189","Milton","2025","53,761,286","7,603,573,400","0.71%","28,364","1,895","5,736,543","133,617,866","4.29%"
"190","Monroe","2021","1,063,608","24,977,400","4.26%","112","9,497","56,173","1,080,841","5.20%"
"190","Monroe","2022","1,029,236","28,214,600","3.65%","115","8,950","55,644","1,077,074","5.17%"
"190","Monroe","2023","994,706","28,214,600","3.53%","118","8,430","56,216","1,226,926","4.58%"
"190","Monroe","2024","1,017,254","31,522,700","3.23%","116","8,769","55,612","1,187,885","4.68%"
"190","Monroe","2025","968,422","31,522,700","3.07%","115","8,421","69,134","1,145,814","6.03%"
"191","Monson","2021","9,992,165","814,480,800","1.23%","8,865","1,127","1,421,696","27,642,043","5.14%"
"191","Monson","2022","9,607,625","853,970,900","1.13%","8,787","1,093","1,859,140","28,920,328","6.43%"
"191","Monson","2023","10,482,904","853,970,900","1.23%","8,150","1,286","1,857,712","30,573,112","6.08%"
"191","Monson","2024","8,915,663","925,835,900","0.96%","8,098","1,101","1,859,933","30,771,886","6.04%"
"191","Monson","2025","8,100,460","925,835,900","0.87%","8,090","1,001","1,071,610","30,634,971","3.50%"
"192","Montague","2021","18,429,098","878,728,100","2.10%","8,316","2,216","1,057,875","24,734,480","4.28%"
"192","Montague","2022","20,286,389","953,787,100","2.13%","8,212","2,470","1,054,155","25,752,085","4.09%"
"192","Montague","2023","19,263,617","953,787,100","2.02%","8,580","2,245","1,135,987","26,159,984","4.34%"
"192","Montague","2024","18,109,441","1,034,121,100","1.75%","8,580","2,111","1,157,252","29,824,674","3.88%"
"192","Montague","2025","16,988,501","1,034,121,100","1.64%","8,463","2,007","1,138,854","28,093,324","4.05%"
"193","Monterey","2021","300,000","544,949,000","0.06%","929","323","326,132","5,524,162","5.90%"
"193","Monterey","2022","150,000","540,379,700","0.03%","924","162","257,454","4,937,595","5.21%"
"193","Monterey","2023","0","540,379,700","0.00%","1,095","0","287,865","5,345,164","5.39%"
"193","Monterey","2024","0","554,257,700","0.00%","1,092","0","257,889","5,654,369","4.56%"
"193","Monterey","2025","0","554,257,700","0.00%","1,085","0","208,649","6,065,657","3.44%"
"194","Montgomery","2021","0","110,014,200","0.00%","870","0","0","1,958,437","0.00%"
"194","Montgomery","2022","0","113,997,900","0.00%","866","0","0","2,294,144","0.00%"
"194","Montgomery","2023","260,000","113,997,900","0.23%","819","317","0","2,176,529","0.00%"
"194","Montgomery","2024","227,881","130,260,900","0.17%","812","281","44,641","2,218,430","2.01%"
"194","Montgomery","2025","194,407","130,260,900","0.15%","818","238","44,640","2,341,787","1.91%"
"195","Mount Washington","2021","0","92,351,700","0.00%","158","0","0","1,476,312","0.00%"
"195","Mount Washington","2022","0","100,069,300","0.00%","157","0","0","1,197,933","0.00%"
"195","Mount Washington","2023","0","100,069,300","0.00%","160","0","0","1,542,055","0.00%"
"195","Mount Washington","2024","0","98,571,900","0.00%","159","0","0","1,613,778","0.00%"
"195","Mount Washington","2025","0","98,571,900","0.00%","157","0","0","1,451,135","0.00%"
"196","Nahant","2021","2,176,810","910,008,700","0.24%","3,524","618","474,424","13,998,345","3.39%"
"196","Nahant","2022","1,677,390","1,034,428,700","0.16%","3,513","477","398,149","14,578,429","2.73%"
"196","Nahant","2023","11,796,272","1,034,428,700","1.14%","3,334","3,538","420,127","15,670,208","2.68%"
"196","Nahant","2024","10,863,314","1,183,644,400","0.92%","3,315","3,277","525,947","15,971,345","3.29%"
"196","Nahant","2025","16,650,977","1,183,644,400","1.41%","3,289","5,063","504,982","19,254,084","2.62%"
"197","Nantucket","2021","187,522,368","23,796,647,900","0.79%","11,327","16,555","9,189,941","107,013,898","8.59%"
"197","Nantucket","2022","186,724,624","26,096,711,600","0.72%","11,399","16,381","9,698,130","121,412,756","7.99%"
"197","Nantucket","2023","227,083,715","26,096,711,600","0.87%","14,255","15,930","11,282,200","142,128,998","7.94%"
"197","Nantucket","2024","257,155,858","26,748,129,600","0.96%","14,491","17,746","14,827,837","160,533,929","9.24%"
"197","Nantucket","2025","273,007,983","26,748,129,600","1.02%","14,421","18,931","15,530,616","176,885,373","8.78%"
"198","Natick","2021","143,884,400","8,526,179,100","1.69%","36,229","3,972","15,005,514","168,591,465","8.90%"
"198","Natick","2022","132,926,677","9,500,063,400","1.40%","36,050","3,687","14,442,607","170,914,188","8.45%"
"198","Natick","2023","148,201,337","9,500,063,400","1.56%","37,006","4,005","13,806,065","180,284,831","7.66%"
"198","Natick","2024","135,581,913","10,516,104,300","1.29%","36,426","3,722","15,724,178","192,279,327","8.18%"
"198","Natick","2025","123,493,598","10,516,104,300","1.17%","36,272","3,405","14,663,623","194,629,044","7.53%"
"199","Needham","2021","139,850,736","10,352,941,600","1.35%","31,248","4,476","17,966,458","196,799,857","9.13%"
"199","Needham","2022","135,198,751","11,580,160,100","1.17%","31,388","4,307","18,152,496","208,022,156","8.73%"
"199","Needham","2023","120,579,660","11,580,160,100","1.04%","32,091","3,757","23,692,944","225,082,440","10.53%"
"199","Needham","2024","108,989,221","12,307,796,200","0.89%","32,048","3,401","20,485,124","231,310,249","8.86%"
"199","Needham","2025","98,331,366","12,307,796,200","0.80%","32,114","3,062","24,514,652","246,909,270","9.93%"
"200","New Ashford","2021","0","39,649,300","0.00%","225","0","0","861,066","0.00%"
"200","New Ashford","2022","0","40,130,500","0.00%","223","0","0","815,020","0.00%"
"200","New Ashford","2023","0","40,130,500","0.00%","250","0","0","865,162","0.00%"
"200","New Ashford","2024","0","42,627,400","0.00%","248","0","0","841,629","0.00%"
"200","New Ashford","2025","0","42,627,400","0.00%","249","0","0","786,827","0.00%"
"201","New Bedford","2021","252,833,767","6,079,471,600","4.16%","95,315","2,653","11,562,286","366,557,582","3.15%"
"201","New Bedford","2022","241,207,135","6,947,603,100","3.47%","95,363","2,529","8,548,888","382,853,550","2.23%"
"201","New Bedford","2023","298,922,082","6,947,603,100","4.30%","101,079","2,957","8,095,431","419,048,435","1.93%"
"201","New Bedford","2024","296,994,140","8,074,839,600","3.68%","100,941","2,942","8,878,651","464,098,407","1.91%"
"201","New Bedford","2025","290,971,488","8,074,839,600","3.60%","100,682","2,890","9,283,574","474,201,517","1.96%"
"202","New Braintree","2021","0","114,442,400","0.00%","1,029","0","67,584","2,643,901","2.56%"
"202","New Braintree","2022","0","125,454,700","0.00%","1,024","0","45,438","2,722,172","1.67%"
"202","New Braintree","2023","0","125,454,700","0.00%","996","0","51,244","2,938,317","1.74%"
"202","New Braintree","2024","0","134,349,700","0.00%","990","0","138,079","3,201,625","4.31%"
"202","New Braintree","2025","0","134,349,700","0.00%","990","0","113,477","3,424,957","3.31%"
"203","New Marlborough","2021","535,000","490,850,400","0.11%","1,458","367","112,400","6,266,267","1.79%"
"203","New Marlborough","2022","612,500","568,276,600","0.11%","1,458","420","155,815","6,529,192","2.39%"
"203","New Marlborough","2023","980,000","568,276,600","0.17%","1,528","641","153,964","6,944,994","2.22%"
"203","New Marlborough","2024","819,166","606,394,600","0.14%","1,518","540","165,892","7,303,573","2.27%"
"203","New Marlborough","2025","658,332","606,394,600","0.11%","1,510","436","195,614","7,304,256","2.68%"
"204","New Salem","2021","354,700","113,802,700","0.31%","1,020","348","173,788","3,570,378","4.87%"
"204","New Salem","2022","438,770","123,679,700","0.35%","1,021","430","295,970","3,946,251","7.50%"
"204","New Salem","2023","322,840","123,679,700","0.26%","983","328","308,103","3,982,204","7.74%"
"204","New Salem","2024","206,910","134,880,400","0.15%","997","208","298,383","4,211,469","7.09%"
"204","New Salem","2025","40,000","134,880,400","0.03%","1,008","40","416,786","4,636,233","8.99%"
"205","Newbury","2021","13,122,715","1,584,277,400","0.83%","7,144","1,837","1,057,241","21,938,069","4.82%"
"205","Newbury","2022","12,266,118","1,736,208,200","0.71%","7,148","1,716","994,712","22,986,054","4.33%"
"205","Newbury","2023","11,595,262","1,736,208,200","0.67%","6,716","1,727","784,423","26,040,127","3.01%"
"205","Newbury","2024","10,900,143","2,013,812,100","0.54%","6,701","1,627","806,471","25,473,294","3.17%"
"205","Newbury","2025","10,185,231","2,013,812,100","0.51%","6,695","1,521","839,527","27,415,460","3.06%"
"206","Newburyport","2021","92,870,709","4,469,999,500","2.08%","18,202","5,102","6,494,560","76,084,987","8.54%"
"206","Newburyport","2022","94,138,452","4,963,974,700","1.90%","18,289","5,147","4,007,006","82,930,970","4.83%"
"206","Newburyport","2023","87,431,377","4,963,974,700","1.76%","18,289","4,781","4,460,193","87,700,220","5.09%"
"206","Newburyport","2024","90,588,619","5,656,251,800","1.60%","18,295","4,952","4,476,532","91,961,200","4.87%"
"206","Newburyport","2025","83,117,291","5,656,251,800","1.47%","18,662","4,454","5,039,468","94,272,569","5.35%"
"207","Newton","2021","329,381,030","30,026,624,900","1.10%","88,904","3,705","25,117,481","512,946,482","4.90%"
"207","Newton","2022","330,823,683","34,257,156,100","0.97%","88,414","3,742","24,599,140","535,346,896","4.60%"
"207","Newton","2023","332,773,016","34,257,156,100","0.97%","88,923","3,742","24,936,086","573,495,497","4.35%"
"207","Newton","2024","328,860,999","36,300,210,300","0.91%","87,453","3,760","25,264,712","593,209,703","4.26%"
"207","Newton","2025","389,688,182","36,300,210,300","1.07%","87,381","4,460","27,368,034","665,633,562","4.11%"
"208","Norfolk","2021","26,708,330","1,805,854,300","1.48%","11,988","2,228","5,731,277","44,937,025","12.75%"
"208","Norfolk","2022","24,590,205","1,981,383,700","1.24%","12,003","2,049","3,250,567","47,572,968","6.83%"
"208","Norfolk","2023","22,596,815","1,981,383,700","1.14%","11,662","1,938","2,658,194","50,319,599","5.28%"
"208","Norfolk","2024","45,568,154","2,184,884,400","2.09%","11,550","3,945","3,074,680","53,473,780","5.75%"
"208","Norfolk","2025","42,924,218","2,184,884,400","1.96%","11,552","3,716","4,799,816","55,462,763","8.65%"
"209","North Adams","2021","6,543,667","762,773,900","0.86%","12,904","507","1,346,716","45,134,251","2.98%"
"209","North Adams","2022","5,770,252","801,676,900","0.72%","12,730","453","1,204,508","46,918,390","2.57%"
"209","North Adams","2023","7,543,658","801,676,900","0.94%","12,961","582","1,036,268","50,047,910","2.07%"
"209","North Adams","2024","7,200,000","884,487,200","0.81%","12,880","559","1,197,451","54,055,599","2.22%"
"209","North Adams","2025","6,815,232","884,487,200","0.77%","12,777","533","675,443","56,356,223","1.20%"
"210","North Andover","2021","39,375,536","5,031,244,200","0.78%","31,296","1,258","5,706,608","110,763,864","5.15%"
"210","North Andover","2022","34,085,390","5,762,245,600","0.59%","31,188","1,093","5,028,051","115,681,046","4.35%"
"210","North Andover","2023","29,574,282","5,762,245,600","0.51%","30,915","957","4,596,987","123,396,345","3.73%"
"210","North Andover","2024","39,827,091","6,388,823,400","0.62%","30,711","1,297","4,210,520","130,032,591","3.24%"
"210","North Andover","2025","35,468,694","6,388,823,400","0.56%","31,295","1,133","4,847,593","137,848,172","3.52%"
"211","North Attleborough","2021","54,279,858","4,009,149,200","1.35%","29,349","1,849","3,493,456","95,758,321","3.65%"
"211","North Attleborough","2022","57,930,752","4,386,403,100","1.32%","29,364","1,973","3,654,653","103,231,940","3.54%"
"211","North Attleborough","2023","58,615,817","4,386,403,100","1.34%","30,834","1,901","4,160,761","110,766,117","3.76%"
"211","North Attleborough","2024","66,207,197","4,784,669,200","1.38%","30,854","2,146","3,737,999","111,652,135","3.35%"
"211","North Attleborough","2025","69,220,280","4,784,669,200","1.45%","30,930","2,238","3,888,171","114,242,965","3.40%"
"212","North Brookfield","2021","6,635,248","418,361,600","1.59%","4,808","1,380","921,035","15,311,104","6.02%"
"212","North Brookfield","2022","5,883,112","473,064,600","1.24%","4,792","1,228","854,344","15,056,195","5.67%"
"212","North Brookfield","2023","6,590,976","473,064,600","1.39%","4,735","1,392","877,751","15,889,344","5.52%"
"212","North Brookfield","2024","5,718,844","548,749,600","1.04%","4,743","1,206","1,077,803","17,495,717","6.16%"
"212","North Brookfield","2025","17,118,708","548,749,600","3.12%","4,728","3,621","1,674,633","18,343,739","9.13%"
"213","North Reading","2021","68,040,000","3,160,863,500","2.15%","15,710","4,331","7,410,655","74,936,057","9.89%"
"213","North Reading","2022","68,835,000","3,607,668,800","1.91%","15,865","4,339","7,631,796","80,766,410","9.45%"
"213","North Reading","2023","63,100,000","3,607,668,800","1.75%","15,554","4,057","7,556,060","82,991,041","9.11%"
"213","North Reading","2024","63,020,000","4,047,916,800","1.56%","15,343","4,107","7,487,256","91,686,371","8.17%"
"213","North Reading","2025","57,485,000","4,047,916,800","1.42%","15,549","3,697","7,187,567","92,969,012","7.73%"
"214","Northampton","2021","40,399,522","3,591,160,400","1.12%","28,726","1,406","4,402,533","104,777,753","4.20%"
"214","Northampton","2022","33,455,800","3,915,520,200","0.85%","28,451","1,176","4,912,676","113,522,777","4.33%"
"214","Northampton","2023","32,433,063","3,915,520,200","0.83%","29,571","1,097","4,445,202","113,249,765","3.93%"
"214","Northampton","2024","38,011,684","4,233,284,000","0.90%","29,311","1,297","4,887,741","131,121,232","3.73%"
"214","Northampton","2025","35,742,839","4,233,284,000","0.84%","29,327","1,219","4,848,007","131,214,300","3.70%"
"215","Northborough","2021","20,261,633","2,982,076,900","0.68%","15,101","1,342","2,191,982","66,251,671","3.31%"
"215","Northborough","2022","17,918,028","3,297,006,900","0.54%","15,109","1,186","2,035,411","67,671,657","3.01%"
"215","Northborough","2023","15,789,423","3,297,006,900","0.48%","15,741","1,003","1,927,127","71,218,703","2.71%"
"215","Northborough","2024","13,820,818","3,635,129,100","0.38%","15,667","882","2,099,836","73,775,215","2.85%"
"215","Northborough","2025","47,052,213","3,635,129,100","1.29%","15,663","3,004","2,049,894","80,201,439","2.56%"
"216","Northbridge","2021","30,719,592","1,723,087,000","1.78%","16,732","1,836","3,591,153","52,802,719","6.80%"
"216","Northbridge","2022","36,224,796","1,894,649,500","1.91%","16,679","2,172","3,964,306","53,845,183","7.36%"
"216","Northbridge","2023","52,530,000","1,894,649,500","2.77%","16,335","3,216","5,081,908","56,429,079","9.01%"
"216","Northbridge","2024","54,960,000","2,148,275,600","2.56%","16,298","3,372","4,906,696","59,141,071","8.30%"
"216","Northbridge","2025","52,500,000","2,148,275,600","2.44%","16,337","3,214","4,749,842","61,021,059","7.78%"
"217","Northfield","2021","95,881","452,727,800","0.02%","2,992","32","0","8,938,839","0.00%"
"217","Northfield","2022","23,000","517,658,400","0.00%","2,958","8","0","10,961,898","0.00%"
"217","Northfield","2023","0","517,658,400","0.00%","2,866","0","0","11,281,339","0.00%"
"217","Northfield","2024","0","612,926,000","0.00%","2,876","0","0","10,607,392","0.00%"
"217","Northfield","2025","0","612,926,000","0.00%","2,872","0","88,486","13,742,540","0.64%"
"218","Norton","2021","40,875,150","2,512,372,400","1.63%","19,948","2,049","2,441,666","65,873,026","3.71%"
"218","Norton","2022","41,960,059","2,900,634,100","1.45%","19,948","2,103","2,511,574","70,284,942","3.57%"
"218","Norton","2023","62,808,786","2,900,634,100","2.17%","19,202","3,271","3,507,412","72,557,322","4.83%"
"218","Norton","2024","79,013,309","3,164,775,400","2.50%","19,278","4,099","5,172,769","79,759,637","6.49%"
"218","Norton","2025","78,834,751","3,164,775,400","2.49%","19,108","4,126","6,056,565","84,122,393","7.20%"
"219","Norwell","2021","17,476,301","2,807,594,400","0.62%","11,115","1,572","3,375,918","63,124,855","5.35%"
"219","Norwell","2022","23,128,786","2,967,834,000","0.78%","11,153","2,074","3,068,802","65,728,538","4.67%"
"219","Norwell","2023","25,211,270","2,967,834,000","0.85%","11,351","2,221","3,667,956","69,089,936","5.31%"
"219","Norwell","2024","23,066,897","3,200,575,000","0.72%","11,349","2,033","2,935,647","71,293,356","4.12%"
"219","Norwell","2025","23,036,591","3,200,575,000","0.72%","11,280","2,042","2,830,058","74,905,972","3.78%"
"220","Norwood","2021","93,071,643","5,454,226,400","1.71%","29,327","3,174","18,319,633","208,556,114","8.78%"
"220","Norwood","2022","105,630,326","6,194,416,300","1.71%","29,725","3,554","7,323,021","219,663,975","3.33%"
"220","Norwood","2023","196,203,451","6,194,416,300","3.17%","31,611","6,207","5,931,794","155,867,668","3.81%"
"220","Norwood","2024","202,974,202","7,062,039,200","2.87%","31,441","6,456","12,491,350","159,158,689","7.85%"
"220","Norwood","2025","191,329,874","7,062,039,200","2.71%","31,317","6,109","12,735,485","169,637,060","7.51%"
"221","Oak Bluffs","2021","33,669,427","3,190,484,700","1.06%","4,678","7,197","2,960,297","33,739,076","8.77%"
"221","Oak Bluffs","2022","29,973,919","3,630,614,100","0.83%","4,667","6,423","3,430,804","37,118,088","9.24%"
"221","Oak Bluffs","2023","27,490,018","3,630,614,100","0.76%","5,341","5,147","3,333,427","37,690,747","8.84%"
"221","Oak Bluffs","2024","29,954,627","4,343,520,600","0.69%","5,472","5,474","3,175,812","40,738,455","7.80%"
"221","Oak Bluffs","2025","27,550,996","4,343,520,600","0.63%","5,379","5,122","3,359,781","43,828,042","7.67%"
"222","Oakham","2021","326,250","205,951,500","0.16%","1,963","166","34,483","4,285,683","0.81%"
"222","Oakham","2022","308,125","239,239,000","0.13%","1,957","157","33,622","4,468,836","0.75%"
"222","Oakham","2023","290,000","239,239,000","0.12%","1,851","157","32,761","4,748,148","0.69%"
"222","Oakham","2024","271,875","269,560,200","0.10%","1,846","147","32,013","4,784,338","0.67%"
"222","Oakham","2025","253,750","269,560,200","0.09%","1,866","136","158,265","5,263,873","3.01%"
"223","Orange","2021","2,529,370","534,082,800","0.47%","7,664","330","556,128","22,453,173","2.48%"
"223","Orange","2022","2,355,011","620,932,600","0.38%","7,582","311","559,197","23,276,025","2.40%"
"223","Orange","2023","18,495,095","620,932,600","2.98%","7,569","2,444","1,387,917","26,334,988","5.27%"
"223","Orange","2024","30,676,976","704,170,400","4.36%","7,577","4,049","1,678,187","27,787,207","6.04%"
"223","Orange","2025","","704,170,400","","7,558","","2,115,824","28,835,794","7.34%"
"224","Orleans","2021","39,945,000","4,253,680,900","0.94%","5,798","6,889","7,040,694","47,633,892","14.78%"
"224","Orleans","2022","47,215,000","4,515,570,600","1.05%","5,788","8,157","5,937,683","43,392,514","13.68%"
"224","Orleans","2023","57,367,300","4,515,570,600","1.27%","6,307","9,096","6,590,284","47,648,704","13.83%"
"224","Orleans","2024","82,157,516","4,865,120,300","1.69%","6,411","12,815","7,107,151","52,005,173","13.67%"
"224","Orleans","2025","89,223,637","4,865,120,300","1.83%","6,422","13,893","8,393,229","60,345,298","13.91%"
"225","Otis","2021","7,405,000","666,372,900","1.11%","1,548","4,784","863,043","7,187,300","12.01%"
"225","Otis","2022","6,995,000","659,119,700","1.06%","1,539","4,545","812,651","7,382,943","11.01%"
"225","Otis","2023","6,575,000","659,119,700","1.00%","1,634","4,024","880,112","7,715,648","11.41%"
"225","Otis","2024","6,135,000","755,586,300","0.81%","1,629","3,766","838,060","8,535,868","9.82%"
"225","Otis","2025","","755,586,300","","1,626","","832,167","9,069,826","9.18%"
"226","Oxford","2021","7,115,000","1,388,727,800","0.51%","14,041","507","1,339,242","45,264,400","2.96%"
