"DOR Code","Municipality","Fiscal Year","Total Outstanding Debt (Schedule A Part 10)","Equalized Values (EQV)","Outstanding Debt as a % of EQV","Population","Outstanding Debt Per Capita","GF Debt Service (Schedule A Part 2)","Total Budget","Debt Service as a % of Budget"
"071","Danvers","2021","88,120,650","5,183,902,300","1.70%","27,727","3,178","6,529,203","113,771,545","5.74%"
"071","Danvers","2022","94,842,280","5,748,464,900","1.65%","27,549","3,443","6,061,274","117,222,404","5.17%"
"071","Danvers","2023","89,522,646","5,748,464,900","1.56%","28,087","3,187","6,410,050","123,421,083","5.19%"
"071","Danvers","2024","82,651,287","6,417,792,300","1.29%","27,898","2,963","6,259,496","129,454,380","4.84%"
"071","Danvers","2025","89,107,730","6,417,792,300","1.39%","27,781","3,208","6,200,369","139,095,933","4.46%"
"072","Dartmouth","2021","41,365,218","5,885,151,300","0.70%","34,307","1,206","5,096,120","98,130,963","5.19%"
"072","Dartmouth","2022","44,791,999","6,198,070,600","0.72%","34,188","1,310","4,994,047","103,173,578","4.84%"
"072","Dartmouth","2023","41,613,712","6,198,070,600","0.67%","33,783","1,232","2,530,788","107,796,600","2.35%"
"072","Dartmouth","2024","39,199,613","6,798,935,400","0.58%","34,005","1,153","2,465,058","106,170,907","2.32%"
"072","Dartmouth","2025","35,228,262","6,798,935,400","0.52%","33,406","1,055","2,094,379","115,729,905","1.81%"
"073","Dedham","2021","114,062,050","5,319,862,700","2.14%","25,334","4,502","10,929,443","117,589,016","9.30%"
"073","Dedham","2022","125,981,475","5,863,555,800","2.15%","25,219","4,995","12,119,176","122,797,668","9.87%"
"073","Dedham","2023","127,410,650","5,863,555,800","2.17%","25,364","5,023","12,662,352","128,733,065","9.84%"
"073","Dedham","2024","122,692,000","6,593,838,900","1.86%","25,240","4,861","13,455,371","135,870,943","9.90%"
"073","Dedham","2025","119,257,325","6,593,838,900","1.81%","24,997","4,771","13,634,820","143,938,482","9.47%"
"074","Deerfield","2021","3,185,000","711,485,200","0.45%","5,042","632","583,681","17,213,287","3.39%"
"074","Deerfield","2022","2,940,000","808,941,100","0.36%","4,991","589","618,580","17,630,269","3.51%"
"074","Deerfield","2023","11,264,000","808,941,100","1.39%","5,090","2,213","971,929","18,877,894","5.15%"
"074","Deerfield","2024","13,845,572","869,370,900","1.59%","5,115","2,707","613,757","19,883,987","3.09%"
"074","Deerfield","2025","19,325,951","869,370,900","2.22%","5,162","3,744","606,858","20,816,074","2.92%"
"075","Dennis","2021","20,960,000","7,229,652,400","0.29%","13,885","1,510","3,240,050","65,565,080","4.94%"
"075","Dennis","2022","19,000,000","7,955,584,100","0.24%","13,871","1,370","2,727,700","68,810,743","3.96%"
"075","Dennis","2023","30,270,000","7,955,584,100","0.38%","14,674","2,063","3,169,840","84,169,904","3.77%"
"075","Dennis","2024","27,550,000","8,912,902,400","0.31%","14,903","1,849","3,982,690","83,232,653","4.79%"
"075","Dennis","2025","24,905,000","8,912,902,400","0.28%","14,932","1,668","3,801,714","83,212,722","4.57%"
"076","Dighton","2021","4,068,394","1,019,183,000","0.40%","7,891","516","398,094","23,806,736","1.67%"
"076","Dighton","2022","3,826,726","1,162,938,400","0.33%","7,967","480","386,343","25,592,434","1.51%"
"076","Dighton","2023","3,585,058","1,162,938,400","0.31%","8,101","443","374,593","27,342,018","1.37%"
"076","Dighton","2024","3,343,390","1,314,856,400","0.25%","8,150","410","362,843","27,822,911","1.30%"
"076","Dighton","2025","3,101,722","1,314,856,400","0.24%","8,168","380","351,093","30,308,558","1.16%"
